<prompt>
Please write a funny Nepali children's story that is at least 1000 words long.
It must be completely written in proper Nepali (NE).
Ensure that the title of the story is enclosed in <title> tags and the body of the story is enclosed in <body> tags.
Example: <title>The title of the story</title><body>The story itself</body>
Do not include any extra commentary or explanation; output only the story in the specified format.
The title of the story is: 'पक्षीहरूको गीतमा लुकेको रहस्य'.
</prompt>

<model>meta-llama/Llama-3.3-70B-Instruct-Turbo</model>

<lang_id>ne</lang_id>

<title>पक्षीहरूको गीतमा लुकेको रहस्य</title>
<body>
नेपालको एक सुन्दर गाउँमा एक छोटो लड्को थियो जसको नाम किशोर थियो। किशोरले पक्षीहरूको गीत सुन्न र उनीहरूलाई देखने मा रुचि राख्थ्यो। उनले आफ्नो खाली समयमा बागैंचामा जाने गर्थ्यो र पक्षीहरूको गीत सुन्थ्यो।

एक दिन किशोर बागैंचामा गयो र एक सुन्दर पाखा देख्यो। त्यो पाखाले एक सुन्दर गीत गाएको थियो। किशोरले त्यो गीत सुने र त्यसलाई मन पराए। उनले सोचे, "यस पाखाले के गाएको छ?" उनले त्यो पाखालाई नजिकबाट हेरे।

त्यो पाखाले किशोरलाई देखेर भने, "किशोर, म तंगने गीत गाएको छु। मेरो गीतमा एक रहस्य लुकेको छ।" किशोरले सोचे, "के रहस्य?" उनले त्यो पाखालाई प्रश्न गरे।
त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ खोज देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ अनुभव देखाउन सक्छ।" किशोरले सोचे, "कस्तो अनुभव?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ शिक्षा देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ बुद्धिमत्ता देखाउन सक्छ।" किशोरले सोचे, "कस्तो बुद्धिमत्ता?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ दृष्टिकोण देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ विचार देखाउन सक्छ।" किशोरले सोचे, "कस्तो विचार?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ संभावना देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ आशा देखाउन सक्छ।" किशोरले सोचे, "कस्तो आशा?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ विश्वास देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ स्थिरता देखाउन सक्छ।" किशोरले सोचे, "कस्तो स्थिरता?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ समृद्धि देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ आनन्द देखाउन सक्छ।" किशोरले सोचे, "कस्तो आनन्द?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ खुशी देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ तृप्ति देखाउन सक्छ।" किशोरले सोचे, "कस्तो तृप्ति?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ संतुष्टि देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ शान्ति देखाउन सक्छ।" किशोरले सोचे, "कस्तो शान्ति?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनमा एक नयाँ सुख देखाउन सक्छ। सपनाले तिम्रो जीवनमा एक नयाँ समाधान देखाउन सक्छ।" किशोरले सोचे, "कस्तो समाधान?" उनले त्यो पाखालाई प्रश्न गरे।

त्यो पाखाले भने, "सपनाले तिम्रो जीवनम
